Model,CC_Pr,NRMSD_Pr,PBIAS_Pr,VAR_Pr,P95_Pr,WET_Pr,CC_Tasmax,NRMSD_Tasmax,PBIAS_Tasmax,VAR_Tasmax,P95_Tasmax,WET_Tasmax,CC_Tasmin,NRMSD_Tasmin,PBIAS_Tasmin,VAR_Tasmin,P95_Tasmin,WET_Tasmin
ACCESS-CM2,0.735,0.134,0.129,1.000,1.000,1.005,0.731,0.128,0.002,1.000,1.000,1.000,0.832,0.119,0.004,1.000,1.000,1.000
ACCESS-ESM1-5,0.748,0.131,0.128,1.000,1.000,1.002,0.735,0.127,0.002,1.000,1.000,1.000,0.856,0.110,0.004,1.000,1.000,1.000
BCC-CSM2-MR,0.768,0.125,0.128,1.000,1.000,1.003,0.726,0.129,0.002,1.000,1.000,1.000,0.860,0.109,0.004,1.000,1.000,1.000
CNRM-CM6-1,0.745,0.131,0.128,1.000,1.000,1.002,0.727,0.129,0.002,1.000,1.000,1.000,0.852,0.112,0.004,1.000,1.000,1.000
CNRM-ESM2-1,0.754,0.128,0.128,1.000,1.000,1.002,0.731,0.128,0.002,1.000,1.000,1.000,0.854,0.111,0.004,1.000,1.000,1.000
CanESM5,0.767,0.126,0.128,1.000,1.000,1.002,0.749,0.124,0.002,1.000,1.000,1.000,0.861,0.108,0.004,1.000,1.000,1.000
EC-Earth3,0.743,0.132,0.293,1.000,1.000,1.186,0.726,0.130,0.002,1.000,1.000,1.000,0.843,0.115,0.004,1.000,1.000,1.000
EC-Earth3-Veg-LR,0.757,0.128,0.134,1.000,1.000,1.014,0.728,0.129,0.002,1.000,1.000,1.000,0.853,0.111,0.004,1.000,1.000,1.000
FGOALS-g3,0.773,0.124,0.128,1.000,1.000,1.002,0.743,0.125,0.002,1.000,1.000,1.000,0.860,0.109,0.004,1.000,1.000,1.000
GISS-E2-1-G,0.752,0.130,0.128,1.000,1.000,1.002,0.738,0.127,0.002,1.000,1.000,1.000,0.853,0.112,0.004,1.000,1.000,1.000
INM-CM4-8,0.737,0.133,0.128,1.000,1.000,1.002,0.741,0.126,0.002,1.000,1.000,1.000,0.868,0.105,0.004,1.000,1.000,1.000
INM-CM5-0,0.726,0.136,0.128,1.000,1.000,1.002,0.740,0.126,0.002,1.000,1.000,1.000,0.862,0.108,0.004,1.000,1.000,1.000
IPSL-CM6A-LR,0.749,0.130,0.128,1.000,1.000,1.003,0.739,0.126,0.002,1.000,1.000,1.000,0.839,0.117,0.004,1.000,1.000,1.000
KIOST-ESM,0.767,0.126,0.128,1.000,1.000,1.002,0.740,0.126,0.002,1.000,1.000,1.000,0.862,0.108,0.004,1.000,1.000,1.000
MIROC-ES2L,0.805,0.114,0.128,1.000,1.000,1.002,0.743,0.125,0.002,1.000,1.000,1.000,0.894,0.094,0.004,1.000,1.000,1.000
MIROC6,0.736,0.133,0.129,1.000,1.000,1.005,0.725,0.130,0.002,1.000,1.000,1.000,0.882,0.099,0.004,1.000,1.000,1.000
MPI-ESM1-2-LR,0.777,0.122,0.128,1.000,1.000,1.002,0.735,0.127,0.002,1.000,1.000,1.000,0.841,0.116,0.004,1.000,1.000,1.000
NESM3,0.771,0.125,0.128,1.000,1.000,1.002,0.746,0.125,0.002,1.000,1.000,1.000,0.797,0.131,0.004,1.000,1.000,1.000
NorESM2-MM,0.748,0.131,0.138,1.000,1.000,1.028,0.732,0.128,0.002,1.000,1.000,1.000,0.847,0.113,0.004,1.000,1.000,1.000
