Date,OBS,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg-LR,FGOALS-g3,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM1-2-LR,NESM3,NorESM2-MM
1,48.70895958,9.273488918,16.38064542,43.84874932,59.88633871,13.40830744,60.64062398,1.834552965,47.99790022,16.92330819,36.21160962,6.840490601,59.91617899,32.85425577,8.978060022,55.50785332,12.82878205,5.872744505,0.029659574,27.58278225
2,27.35442094,10.11979982,50.39442217,75.65371728,32.84168665,23.49986689,11.75634374,36.61178743,19.33763367,12.37972533,15.94884207,31.68236255,47.84089807,61.51510232,9.573173988,11.46188805,1.366375827,11.94587626,13.40030197,10.72685635
3,6.727771677,2.176975652,45.95193659,3.099502903,6.094304082,2.826228286,2.868213426,54.11548508,6.701663411,9.113975412,3.035784561,48.91193437,36.35265415,8.44658151,64.62892159,8.359574962,21.7072994,8.030275373,4.634423489,6.933829356
4,67.98424495,46.13878168,10.78177721,2.681479082,20.32802713,22.35831854,3.851217059,39.62863399,59.7510428,10.79283682,18.93136531,1.922158958,10.39231632,21.82583246,29.55896531,16.13903257,14.97806703,52.15033678,5.748263179,25.62504125
5,27.02861844,21.48389112,20.67781373,49.40062765,0.386376243,25.6391518,14.00603677,0.283265774,8.234985251,5.954211742,10.40672817,35.81433528,16.20058434,12.36679427,32.96956735,58.01356259,92.53737585,31.19672345,4.46439784,7.443310501
6,77.40683116,12.5980827,35.48634218,8.739673004,4.962897019,81.06785936,53.62237265,2.678672731,35.69339432,10.76480541,41.02286274,20.59010744,23.75518965,41.70561852,81.42792604,28.87632673,38.77460849,14.74454918,3.888809221,37.49798193
7,66.69421601,1.969753769,18.68128822,43.58630448,94.81640977,0.036617526,62.10552381,42.29768626,0.005904473,4.205120596,16.48491761,36.91395344,34.51347895,5.313080066,52.49667536,35.75944603,26.64233249,11.60898139,4.109009709,69.90856489
8,0.13606959,1.01356544,11.28445581,18.31627738,2.751898522,10.47237668,7.546342387,10.78712498,14.9201603,18.52085369,48.06002061,24.44914547,0.518124597,28.39054104,6.262406138,9.583030723,18.82622483,6.216130034,0.371991832,4.192388519
9,80.80820156,25.85817693,6.462134186,9.341317447,56.80103656,1.446529202,83.64451561,19.18061454,9.216674682,10.65893795,11.07770926,8.278096344,3.732847524,19.0731635,7.688536679,29.54213938,6.414054341,17.12657587,3.583251717,4.202575054
10,28.12907183,42.65317764,19.82080636,68.92795782,3.54912535,24.62167167,1.649243717,64.56637406,27.54430887,0.7978901,42.51346494,64.88072425,3.239189583,79.6737406,16.10819407,5.833680356,4.528238339,12.60600037,10.07352862,3.742719208
11,5.908955116,3.629950323,22.78268066,8.028858692,18.86557311,43.89484286,28.57459375,38.49024547,94.04942933,26.58396642,9.688589404,40.7206066,33.48689195,3.945944428,53.35294183,18.32007083,0.141174781,2.896359022,4.117241384,2.374367485
12,20.69041035,14.73815318,32.56107299,22.60900234,6.887346306,9.274027083,88.49918545,10.12036617,0.719015695,5.178549622,4.49307124,63.78168729,3.856371951,76.20147325,18.24832782,40.82711589,49.91913269,17.86226476,23.36578597,11.63957809
13,10.1807937,38.7907336,28.77921665,2.743823903,50.7061899,5.295584915,37.75404288,22.216155,16.10096513,52.35902728,18.8194172,25.3724929,34.52023543,9.541549023,53.48274739,0.688891813,13.05288938,7.884237934,34.58814011,78.42038362
14,12.5037601,25.17655405,17.00457464,6.823256755,5.592566156,40.35092082,19.96732408,4.854658169,32.89834074,10.74376354,69.30755345,56.08325588,45.7292323,2.491275183,3.766394535,63.3868515,1.10606591,5.485058568,31.49341932,51.75770782
15,28.92997799,73.1712522,53.18393451,22.18492836,1.020746144,4.833150556,5.552344954,52.90808544,14.91414445,35.6096842,81.24133745,16.80223394,31.34372739,30.17082772,0.927341669,40.6566108,47.61292083,19.05428005,28.82450738,3.986510004
16,57.10347481,24.36607803,3.954492429,48.52121244,34.21974618,35.78791408,40.59441332,30.57779286,12.87120571,10.97408471,46.85628031,10.31988205,9.018656497,1.288589179,0.025055615,59.07680611,25.29279009,11.39024621,26.27759682,75.15058236
17,6.324079258,60.72676757,25.80645948,24.64288554,33.39504283,6.999103225,2.831665249,0.213226443,53.48825601,3.233347822,4.577287704,26.84205053,0.578610131,9.939125804,11.4151036,49.78599595,15.71581216,6.698864708,61.04648218,29.74592017
18,53.43949925,16.90090425,20.74793234,1.321830456,29.71636346,0.180106173,25.44220271,53.7882155,0.222384714,46.55735053,60.72615631,38.63562399,48.79997235,36.9594064,51.34441752,7.397507381,56.15151766,45.13415758,7.153691274,27.74285607
19,16.90298491,2.753853187,18.18255401,9.07720595,0.738433642,70.07742536,11.11185372,49.30528475,0.362374019,10.98753334,0.550892099,6.358987066,40.30209817,1.752528372,3.487341454,11.56504611,5.560137868,8.35026667,37.97662798,69.23031127
